Entrezgene	gene_name	expression
7105	TSPAN6	12019
64102	TNMD	50
8813	DPM1	2501
57147	SCYL3	908
55732	C1orf112	1248
2268	FGR	73
3075	CFH	1412
2519	FUCA2	2711
2729	GCLC	981
4800	NFYA	4323
90529	STPG1	893
57185	NIPAL3	1155
81887	LAS1L	3490
22875	ENPP4	591
6405	SEMA3F	11718
1080	CFTR	8
54467	ANKIB1	4279
1595	CYP51A1	48
889	KRIT1	851
5893	RAD52	689
572	BAD	487
51056	LAP3	2946
4267	CD99	10452
9957	HS3ST1	671
26	AOC1	83
51384	WNT16	23
23072	HECW1	14
8379	MAD1L1	12
3927	LASP1	9014
29916	SNX11	929
55365	TMEM176A	653
4074	M6PR	1253
90293	KLHL13	1079
56603	CYP26B1	1495
3382	ICA1	280
79007	DBNDD1	2917
57679	ALS2	2716
843	CASP10	372
8837	CFLAR	5244
7035	TFPI	1077
55471	NDUFAF7	1175
10181	RBM5	6246
9108	MTMR7	429
6542	SLC7A2	1800
381	ARF5	4527
23098	SARM1	650
26073	POLDIP2	5341
23129	PLXND1	8114
204	AK2	6771
952	CD38	168
2288	FKBP4	4222
23028	KDM1A	18384
10180	RBM6	4809
84254	CAMKK1	189
5965	RECQL	780
55610	VPS50	1915
126393	HSPB6	585
115703	ARHGAP33	4254
4706	NDUFAB1	3643
5166	PDK4	3152
85413	SLC22A16	21
51364	ZMYND10	49
340273	ABCB5	2
170302	ARX	2
10165	SLC25A13	3012
7982	ST7	1684
996	CDC27	6666
6521	SLC4A1	9
799	CALCR	15
3052	HCCS	1118
1856	DVL2	5700
64063	PRSS22	19
5976	UPF1	9444
8935	SKAP2	1687
292	SLC25A5	7180
55013	MCUB	963
3207	HOXA11	9280
5439	POLR2J	2032
56919	DHX33	2396
4222	MEOX1	21647
221981	THSD7A	492
3980	LIG3	4201
79657	RPAP3	3424
6296	ACSM3	285
81691	REXO5	387
57019	CIAPIN1	3808
56928	SPPL2B	3530
80256	FAM214B	907
51226	COPZ2	216
5577	PRKAR2B	2900
10943	MSL3	3309
1387	CREBBP	22683
9256	TSPOAP1	2327
4353	MPO	27
5444	PON1	18
6936	GCFC2	2332
84058	WDR54	2112
54677	CROT	1081
5244	ABCB4	33
55904	KMT2E	14512
57414	RHBDD2	6304
30812	SOX8	646
25998	IBTK	3992
7748	ZNF195	4410
23077	MYCBP2	3211
26224	FBXL3	4086
3683	ITGAL	198
5164	PDK2	2759
3675	ITGA3	5527
7543	ZFX	4434
3920	LAMP2	6184
3674	ITGA2B	91
51666	ASB4	13
51573	GDE1	4680
55049	REX1BD	1654
9244	CRLF1	1653
114881	OSBPL7	675
26022	TMEM98	9703
51087	YBX2	519
9020	MAP3K14	565
6833	ABCC8	229
54972	TMEM132A	9804
163	AP2B1	17780
6863	TAC1	65
10127	ZNF263	2133
6376	CX3CL1	670
64847	SPATA20	2454
8913	CACNA1G	1344
51330	TNFRSF12A	1365
1750	DLX6	2
4293	MAP3K9	1386
5898	RALA	7223
55971	BAIAP2L1	1948
80853	KDM7A	2360
2115	ETV1	14796
55750	AGK	2952
221	ALDH3B1	146
55001	TTC22	1
57157	PHTF2	3618
10344	CCL26	4
9855	FARP2	2850
10083	USH1C	22
79017	GGCT	907
10926	DBF4	2339
6915	TBXA2R	133
3475	IFRD1	1085
56891	LGALS14	1
1352	COX10	1904
9569	GTF2IRD1	5727
54623	PAF1	3674
27072	VPS41	5295
9912	ARHGAP44	745
60528	ELAC2	4838
85477	SCIN	274
414	ARSD	2293
8228	PNPLA4	1177
8735	MYH13	80
79602	ADIPOR2	5212
51265	CDKL3	89
151531	UPP2	52
57787	MARK4	6431
8842	PROM1	4353
115098	CCDC124	2268
90273	CEACAM21	32
5048	PAFAH1B1	9175
4843	NOS2	126
1770	DNAH9	212
9703	KIAA0100	6546
9058	SLC13A2	2
8522	GAS7	4273
79090	TRAPPC6A	803
4145	MATK	15
974	CD79B	7
6329	SCN4A	182
54879	ST7L	948
8277	TKTL1	17
5080	PAX6	5
113000	RPUSD1	989
64285	RHBDF1	1560
55692	LUC7L	5189
9254	CACNA2D2	1617
8938	BAIAP3	148
115939	TSR3	1467
9091	PIGQ	2930
57585	CRAMP1	2235
7005	TEAD3	5619
6401	SELE	31
55735	DNAJC11	1790
2328	FMO3	5
29116	MYLIP	4251
27035	NOX1	110
1870	E2F2	1827
5689	PSMB1	8651
6853	SYN1	549
3720	JARID2	5573
6792	CDKL5	1553
57172	CAMK1G	447
728642	CDK11A	39
65220	NADK	2326
7021	TFAP2B	15
83741	TFAP2D	1
9940	DLEC1	17
9265	CYTH3	4600
53616	ADAM22	1201
6856	SYPL1	5097
1534	CYB561	837
9043	SPAG9	8017
1951	CELSR3	358
10157	AASS	3960
55200	PLEKHG6	176
51188	SS18L2	725
84954	MPND	585
4257	MGST1	564
1407	CRY1	1729
4784	NFIX	2638
6482	ST3GAL1	4394
64386	MMP25	40
9235	IL32	1513
5310	PKD1	3985
23542	MAPK8IP2	163
9862	MED24	8609
23221	RHOBTB2	1385
54497	HEATR5B	2136
7095	SEC62	13823
6224	RPS20	50591
7812	CSDE1	49956
9690	UBE3C	3528
5980	REV3L	6082
10178	TENM1	3
5081	PAX7	31
10747	MASP2	170
389434	IYD	4
199870	FAM76A	1072
80342	TRAF3IP3	30
29954	POMT2	3032
51534	VTA1	5318
51085	MLXIPL	792
9031	BAZ1B	17422
10048	RANBP9	4251
51513	ETV7	12
83932	SPRTN	992
51603	EEF1AKNMT	1636
8798	DYRK4	988
7756	ZNF207	16318
