Entrezgene	gene_name	expression
7105	TSPAN6	11083
64102	TNMD	83
8813	DPM1	6120
57147	SCYL3	677
55732	C1orf112	1010
2268	FGR	41
3075	CFH	209
2519	FUCA2	3794
2729	GCLC	2034
4800	NFYA	1551
90529	STPG1	919
57185	NIPAL3	906
81887	LAS1L	3971
22875	ENPP4	1464
6405	SEMA3F	10709
1080	CFTR	9
54467	ANKIB1	3621
1595	CYP51A1	106
889	KRIT1	784
5893	RAD52	1316
572	BAD	1135
51056	LAP3	6122
4267	CD99	10306
9957	HS3ST1	135
26	AOC1	11
51384	WNT16	38
23072	HECW1	24
8379	MAD1L1	6
3927	LASP1	3001
29916	SNX11	855
55365	TMEM176A	778
4074	M6PR	1772
90293	KLHL13	875
56603	CYP26B1	264
3382	ICA1	297
79007	DBNDD1	687
57679	ALS2	986
843	CASP10	144
8837	CFLAR	1249
7035	TFPI	449
55471	NDUFAF7	1087
10181	RBM5	3672
9108	MTMR7	439
6542	SLC7A2	4528
381	ARF5	7585
23098	SARM1	131
26073	POLDIP2	4906
23129	PLXND1	3653
204	AK2	14025
952	CD38	220
2288	FKBP4	14205
23028	KDM1A	27077
10180	RBM6	4211
84254	CAMKK1	141
5965	RECQL	627
55610	VPS50	1894
126393	HSPB6	596
115703	ARHGAP33	2162
4706	NDUFAB1	11934
5166	PDK4	747
85413	SLC22A16	25
51364	ZMYND10	27
170302	ARX	4
10165	SLC25A13	4561
7982	ST7	3546
996	CDC27	4542
6521	SLC4A1	9
799	CALCR	321
3052	HCCS	1798
1856	DVL2	4954
5976	UPF1	7570
8935	SKAP2	891
292	SLC25A5	33996
55013	MCUB	564
3207	HOXA11	3770
5439	POLR2J	6701
56919	DHX33	2706
4222	MEOX1	2937
221981	THSD7A	781
3980	LIG3	2230
79657	RPAP3	4496
6296	ACSM3	537
81691	REXO5	308
57019	CIAPIN1	4137
56928	SPPL2B	1006
80256	FAM214B	259
51226	COPZ2	54
5577	PRKAR2B	2793
10943	MSL3	2695
1387	CREBBP	8413
9256	TSPOAP1	664
4353	MPO	10
5444	PON1	30
6936	GCFC2	3467
84058	WDR54	5481
54677	CROT	820
5244	ABCB4	197
55904	KMT2E	6490
57414	RHBDD2	9543
30812	SOX8	259
25998	IBTK	3463
7748	ZNF195	3959
23077	MYCBP2	3115
26224	FBXL3	2734
3683	ITGAL	151
5164	PDK2	1368
3675	ITGA3	1192
7543	ZFX	2340
3920	LAMP2	8280
3674	ITGA2B	10
51666	ASB4	14
51573	GDE1	4556
55049	REX1BD	2560
9244	CRLF1	278
114881	OSBPL7	496
26022	TMEM98	3908
51087	YBX2	412
9020	MAP3K14	256
6833	ABCC8	127
54972	TMEM132A	9259
163	AP2B1	10889
6863	TAC1	273
10127	ZNF263	956
6376	CX3CL1	592
64847	SPATA20	1221
8913	CACNA1G	82
51330	TNFRSF12A	135
1750	DLX6	2
4293	MAP3K9	347
5898	RALA	4819
55971	BAIAP2L1	3272
80853	KDM7A	1423
2115	ETV1	7144
55750	AGK	4178
221	ALDH3B1	98
55001	TTC22	50
57157	PHTF2	2887
10344	CCL26	2
9855	FARP2	1614
10083	USH1C	1971
79017	GGCT	1456
10926	DBF4	3754
6915	TBXA2R	78
3475	IFRD1	1868
56891	LGALS14	3
1352	COX10	1023
9569	GTF2IRD1	5659
54623	PAF1	2168
27072	VPS41	2830
9912	ARHGAP44	367
60528	ELAC2	3447
85477	SCIN	75
414	ARSD	787
8228	PNPLA4	990
8735	MYH13	29
79602	ADIPOR2	5609
51265	CDKL3	126
151531	UPP2	22
10942	PRSS21	406
57787	MARK4	19075
8842	PROM1	1416
115098	CCDC124	6301
90273	CEACAM21	5
5048	PAFAH1B1	4195
4843	NOS2	63
1770	DNAH9	15
9703	KIAA0100	4001
9058	SLC13A2	1
8522	GAS7	1377
79090	TRAPPC6A	2796
4145	MATK	31
974	CD79B	47
6329	SCN4A	79
54879	ST7L	1658
8277	TKTL1	159
5080	PAX6	21
113000	RPUSD1	1397
64285	RHBDF1	211
55692	LUC7L	2096
9254	CACNA2D2	1682
8938	BAIAP3	34
115939	TSR3	1519
9091	PIGQ	1567
57585	CRAMP1	869
7005	TEAD3	2226
6401	SELE	16
55735	DNAJC11	1569
2328	FMO3	11
29116	MYLIP	3981
27035	NOX1	161
1870	E2F2	1877
5689	PSMB1	22102
6853	SYN1	241
3720	JARID2	5424
6792	CDKL5	406
57172	CAMK1G	390
728642	CDK11A	92
65220	NADK	3958
7021	TFAP2B	37
9940	DLEC1	8
9265	CYTH3	1808
53616	ADAM22	1345
6856	SYPL1	9289
1534	CYB561	336
9043	SPAG9	2856
1951	CELSR3	593
10157	AASS	2068
55200	PLEKHG6	165
51188	SS18L2	2053
84954	MPND	816
4257	MGST1	6152
1407	CRY1	2583
8993	PGLYRP1	3
4784	NFIX	192
6482	ST3GAL1	1944
64386	MMP25	22
9235	IL32	1242
5310	PKD1	1300
23542	MAPK8IP2	35
9862	MED24	5286
23221	RHOBTB2	792
54497	HEATR5B	1331
7095	SEC62	12452
6224	RPS20	203683
7812	CSDE1	58037
9690	UBE3C	2702
5980	REV3L	3726
10178	TENM1	8
5081	PAX7	1
